id,nombre,apellido,genero,email,pais,provincia,matematica,fisica,literatura,programacion
1,Máximo,Elizalde,M,máximo.elizalde@universidadvirtual.edu.ar,Argentina,La Pampa,7,61,8,44,3,95,9,29
31,Juan,Núñez,M,juan.núñez@universidadvirtual.edu.ar,Argentina,Córdoba,7,96,6,62,2,62,5,76
131,Juan,Bernal,M,juan.bernal@universidadvirtual.edu.ar,Argentina,Santa Fe,4,9,9,52,1,18,5,62
2,Valentina,Saucedo,F,valentina.saucedo@universidadvirtual.edu.ar,Argentina,Ciudad Autónoma de Buenos Aires,6,21,8,72,9,71,8,45
4,Valentina,Escamilla,F,valentina.escamilla@universidadvirtual.edu.ar,Argentina,Tucumán,9,6,2,95,1,63,7,62
67,Valentina,Molina,F,valentina.molina@universidadvirtual.edu.ar,Argentina,Entre Ríos,7,35,7,97,9,39,2,49
73,Valentina,Barrios,F,valentina.barrios@universidadvirtual.edu.ar,Argentina,Chubut,2,77,1,35,5,73,2,2
15,María,Ledezma,F,maría.ledezma@universidadvirtual.edu.ar,Argentina,Tierra del Fuego,9,6,7,28,7,98,2,87
101,María,Rosales,F,maría.rosales@universidadvirtual.edu.ar,Argentina,Buenos Aires,5,41,8,96,3,97,8,38
3,Álvaro,Álvarez,M,álvaro.álvarez@universidadvirtual.edu.ar,Argentina,Río Negro,4,92,2,12,8,69,7,39
95,Ana,Heredia,F,ana.heredia@universidadvirtual.edu.ar,Argentina,Santa Fe,8,95,5,89,6,18,3,94
5,Julieta,Cabrera,F,julieta.cabrera@universidadvirtual.edu.ar,Argentina,Misiones,3,55,6,76,3,99,5,5
112,Julieta,Falcón,F,julieta.falcón@universidadvirtual.edu.ar,Argentina,Chubut,4,99,9,22,2,31,9,47
68,Luis,Villaseñor,M,luis.villaseñor@universidadvirtual.edu.ar,Argentina,Misiones,2,77,5,34,7,75,3,33
74,Luis,Ortega,M,luis.ortega@universidadvirtual.edu.ar,Argentina,La Rioja,4,23,5,41,6,8,4,09
134,Luis,Rodríguez,M,luis.rodríguez@universidadvirtual.edu.ar,Argentina,Córdoba,9,99,6,34,4,96,1,93
6,Leandro,Ponce,M,leandro.ponce@universidadvirtual.edu.ar,Argentina,Santiago del Estero,3,27,2,88,4,51,7,35
7,Federico,Noriega,M,federico.noriega@universidadvirtual.edu.ar,Argentina,Chubut,9,73,6,91,4,81,8,66
57,Federico,Lara,M,federico.lara@universidadvirtual.edu.ar,Argentina,Santiago del Estero,8,97,7,2,88,7,52
61,Federico,Barrios,M,federico.barrios@universidadvirtual.edu.ar,Argentina,Catamarca,5,3,1,94,3,45,8,87
139,Federico,Lepe,M,federico.lepe@universidadvirtual.edu.ar,Argentina,Neuquén,4,54,5,95,4,6,4,85
116,Diego,Delgado,M,diego.delgado@universidadvirtual.edu.ar,Argentina,Entre Ríos,1,26,5,84,7,98,3,81
8,Jorge,Escobar,M,jorge.escobar@universidadvirtual.edu.ar,Argentina,Tucumán,6,54,9,17,5,61,5,78
9,Celeste,Elizalde,F,celeste.elizalde@universidadvirtual.edu.ar,Argentina,Ciudad Autónoma de Buenos Aires,1,99,5,11,8,32,3,23
10,Rafael,Lepe,M,rafael.lepe@universidadvirtual.edu.ar,Argentina,Santa Cruz,6,07,9,96,1,78,7,07
50,Rafael,Durán,M,rafael.durán@universidadvirtual.edu.ar,Argentina,Jujuy,6,17,5,29,8,18,1,35
11,Nayla,Negrón,F,nayla.negrón@universidadvirtual.edu.ar,Argentina,Salta,9,44,1,98,5,04,7,57
93,Nayla,Tello,F,nayla.tello@universidadvirtual.edu.ar,Argentina,San Luis,9,53,7,09,2,99,6,78
122,Nayla,Leyva,F,nayla.leyva@universidadvirtual.edu.ar,Argentina,Neuquén,1,05,2,82,1,71,6,45
78,Miguel,Amaya,M,miguel.amaya@universidadvirtual.edu.ar,Argentina,La Rioja,8,39,4,42,3,98,6,25
92,Miguel,Beltrán,M,miguel.beltrán@universidadvirtual.edu.ar,Argentina,Chubut,3,34,9,83,1,4,4,71
12,Ian,Girón,M,ian.girón@universidadvirtual.edu.ar,Argentina,San Juan,5,53,8,32,3,56,4,89
82,Ian,Piña,M,ian.piña@universidadvirtual.edu.ar,Argentina,Santiago del Estero,5,34,6,21,3,25,3,71
105,Ian,Mares,M,ian.mares@universidadvirtual.edu.ar,Argentina,La Pampa,4,31,2,13,3,41,2,75
130,Ian,Del Río,M,ian.del río@universidadvirtual.edu.ar,Argentina,Misiones,6,71,7,18,7,12,4,47
13,Marcos,Dávalos,M,marcos.dávalos@universidadvirtual.edu.ar,Argentina,Catamarca,4,17,9,48,4,91,1,62
108,Andrés,Castañón,M,andrés.castañón@universidadvirtual.edu.ar,Argentina,Neuquén,4,18,4,95,8,88,2,23
14,Luz,Del Toro,F,luz.del toro@universidadvirtual.edu.ar,Argentina,Misiones,7,95,1,08,3,42,5,27
72,Luz,Castro,F,luz.castro@universidadvirtual.edu.ar,Argentina,Formosa,2,47,6,72,2,6,9,87
17,Sofía,Camacho,F,sofía.camacho@universidadvirtual.edu.ar,Argentina,Entre Ríos,7,58,1,87,7,84,8,42
124,Nicolás,Vázquez,M,nicolás.vázquez@universidadvirtual.edu.ar,Argentina,Río Negro,7,81,3,18,3,1,81
16,Hugo,Cárdenas,M,hugo.cárdenas@universidadvirtual.edu.ar,Argentina,Entre Ríos,3,41,4,77,6,58,9,88
111,Hugo,Manríquez,M,hugo.manríquez@universidadvirtual.edu.ar,Argentina,Río Negro,9,26,5,85,5,34,2,11
18,Agustín,Maldonado,M,agustín.maldonado@universidadvirtual.edu.ar,Argentina,San Luis,9,8,9,42,6,17,3,7
138,Agustín,Bernal,M,agustín.bernal@universidadvirtual.edu.ar,Argentina,Santiago del Estero,6,7,4,09,6,71,3,44
19,Javier,Bañuelos,M,javier.bañuelos@universidadvirtual.edu.ar,Argentina,Jujuy,7,98,3,3,2,83,7,59
22,Javier,Ramírez,M,javier.ramírez@universidadvirtual.edu.ar,Argentina,Río Negro,9,62,1,33,6,7,6,23
20,Ángeles,Serrano,F,ángeles.serrano@universidadvirtual.edu.ar,Argentina,Ciudad Autónoma de Buenos Aires,2,1,5,65,5,06,5,35
52,Ángeles,Manríquez,F,ángeles.manríquez@universidadvirtual.edu.ar,Argentina,Ciudad Autónoma de Buenos Aires,3,85,3,4,86,7,64
64,Camila,Alvarado,F,camila.alvarado@universidadvirtual.edu.ar,Argentina,Jujuy,7,89,6,8,1,68,9,96
21,Axel,Bañuelos,M,axel.bañuelos@universidadvirtual.edu.ar,Argentina,Buenos Aires,7,22,6,87,3,37,5,88
34,Daniela,Céspedes,F,daniela.céspedes@universidadvirtual.edu.ar,Argentina,Corrientes,3,04,5,83,2,63,8,73
81,Daniela,Lemus,F,daniela.lemus@universidadvirtual.edu.ar,Argentina,Chubut,9,44,8,42,4,18,6,95
23,Dante,León,M,dante.león@universidadvirtual.edu.ar,Argentina,Santa Cruz,1,71,8,59,4,2,1,92
26,Dante,Oyola,M,dante.oyola@universidadvirtual.edu.ar,Argentina,Ciudad Autónoma de Buenos Aires,2,24,1,96,4,92,1,84
106,Dante,Méndez,M,dante.méndez@universidadvirtual.edu.ar,Argentina,Entre Ríos,4,99,6,84,8,29,4,98
121,Martín,Tovar,M,martín.tovar@universidadvirtual.edu.ar,Argentina,San Luis,9,4,8,91,1,43,5,94
129,Martín,Villalobos,M,martín.villalobos@universidadvirtual.edu.ar,Argentina,Mendoza,3,98,1,69,1,23,1,46
24,Valentín,Delgadillo,M,valentín.delgadillo@universidadvirtual.edu.ar,Argentina,Río Negro,3,54,1,59,5,89,5,1
25,Carla,Tinoco,F,carla.tinoco@universidadvirtual.edu.ar,Argentina,Córdoba,6,38,4,63,9,21,5,71
40,Joaquín,Escobar,M,joaquín.escobar@universidadvirtual.edu.ar,Argentina,Santa Fe,5,49,1,67,7,92,3,72
27,Noelia,Chacón,F,noelia.chacón@universidadvirtual.edu.ar,Argentina,Salta,8,01,3,85,1,19,7,75
28,Olivia,González,F,olivia.gonzález@universidadvirtual.edu.ar,Argentina,Jujuy,9,01,7,62,1,47,3,73
32,Olivia,Maldonado,F,olivia.maldonado@universidadvirtual.edu.ar,Argentina,Santa Cruz,3,81,6,74,8,31,9,87
140,Milagros,Bautista,F,milagros.bautista@universidadvirtual.edu.ar,Argentina,Chaco,9,87,9,53,2,54,5,21
29,Agustina,Enciso,F,agustina.enciso@universidadvirtual.edu.ar,Argentina,Entre Ríos,8,71,3,89,2,33,8,5
30,Zoe,Muñoz,F,zoe.muñoz@universidadvirtual.edu.ar,Argentina,Buenos Aires,3,38,7,39,2,56,3,12
41,Zoe,Colón,F,zoe.colón@universidadvirtual.edu.ar,Argentina,Misiones,4,68,9,8,2,6,1,92
96,Zoe,Delgado,F,zoe.delgado@universidadvirtual.edu.ar,Argentina,Salta,8,6,5,16,5,73,6,79
117,Zoe,Rangel,F,zoe.rangel@universidadvirtual.edu.ar,Argentina,La Pampa,3,24,2,67,7,69,7,88
99,Martina,Enciso,F,martina.enciso@universidadvirtual.edu.ar,Argentina,La Rioja,9,56,2,88,5,39,2,84
62,Lucas,Maldonado,M,lucas.maldonado@universidadvirtual.edu.ar,Argentina,San Juan,4,67,8,82,1,48,5,6
43,Renata,Pineda,F,renata.pineda@universidadvirtual.edu.ar,Argentina,Jujuy,8,55,8,88,5,51,2,88
56,Renata,Lozada,F,renata.lozada@universidadvirtual.edu.ar,Argentina,Santa Fe,8,72,8,55,5,06,5,84
144,Renata,Roque,F,renata.roque@universidadvirtual.edu.ar,Argentina,Santa Fe,9,9,1,56,9,27,8,09
33,Graciela,Cardona,F,graciela.cardona@universidadvirtual.edu.ar,Argentina,Salta,6,95,5,9,31,2,65
107,Franco,Juárez,M,franco.juárez@universidadvirtual.edu.ar,Argentina,Buenos Aires,2,1,76,1,86,7,2
35,Thiago,Matos,M,thiago.matos@universidadvirtual.edu.ar,Argentina,Mendoza,5,99,3,38,5,71,1,66
55,Thiago,Valenzuela,M,thiago.valenzuela@universidadvirtual.edu.ar,Argentina,San Juan,8,79,1,6,6,45,4,46
143,Benjamín,Vargas,M,benjamín.vargas@universidadvirtual.edu.ar,Argentina,San Luis,3,48,6,91,1,79,9,87
36,Matías,Díaz,M,matías.díaz@universidadvirtual.edu.ar,Argentina,Neuquén,8,08,5,34,7,37,2,84
37,Antonella,Andrada,F,antonella.andrada@universidadvirtual.edu.ar,Argentina,Salta,5,61,7,82,1,75,1,33
38,Lourdes,Sandoval,F,lourdes.sandoval@universidadvirtual.edu.ar,Argentina,Santiago del Estero,6,1,6,15,1,33,8,33
125,Lourdes,Peña,F,lourdes.peña@universidadvirtual.edu.ar,Argentina,Santa Fe,5,2,1,62,3,32,4,61
80,Josefina,Maturana,F,josefina.maturana@universidadvirtual.edu.ar,Argentina,Ciudad Autónoma de Buenos Aires,4,22,4,06,7,22,7,73
